epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1119.42,1.20632,3.08677,0.93154,0.98976,0.1,0.18869,0.11431,1.3928,4.2114,1.17512,0.000203141,0.000203141,0.000203141
64,1137.12,1.27416,3.08167,0.94911,0.97444,0.1,0.1884,0.11252,1.35596,4.37604,1.15473,0.000197934,0.000197934,0.000197934
65,1154.51,1.29187,2.90998,0.9698,0.97444,0.1,0.1884,0.11252,1.35596,4.37604,1.15473,0.000192726,0.000192726,0.000192726
66,1171.9,1.14065,2.80182,0.89914,0.97444,0.1,0.1884,0.11252,1.35596,4.37604,1.15473,0.000187519,0.000187519,0.000187519
67,1189.5,1.03308,2.3158,0.93264,0.71193,0.116,0.17773,0.11187,1.32506,4.72716,1.15712,0.000182312,0.000182312,0.000182312
68,1207.06,1.29805,2.8417,0.96036,0.71193,0.116,0.17773,0.11187,1.32506,4.72716,1.15712,0.000177104,0.000177104,0.000177104
69,1224.12,1.18151,2.77452,0.93531,0.71193,0.116,0.17773,0.11187,1.32506,4.72716,1.15712,0.000171897,0.000171897,0.000171897
70,1241.58,1.09663,2.46284,0.97275,0.97126,0.1,0.18747,0.1167,1.31395,4.52305,1.15012,0.000166689,0.000166689,0.000166689
71,1258.79,1.26792,2.93686,0.96871,0.97126,0.1,0.18747,0.1167,1.31395,4.52305,1.15012,0.000161482,0.000161482,0.000161482
72,1276.16,1.2131,2.64634,0.90589,0.96826,0.1,0.17632,0.10842,1.31277,4.60063,1.15746,0.000156275,0.000156275,0.000156275
73,1293.34,1.21237,2.68287,0.93531,0.96826,0.1,0.17632,0.10842,1.31277,4.60063,1.15746,0.000151067,0.000151067,0.000151067
74,1310.56,1.12269,2.57867,0.92482,0.96826,0.1,0.17632,0.10842,1.31277,4.60063,1.15746,0.00014586,0.00014586,0.00014586
75,1327.9,0.97436,2.72311,0.88477,0.60028,0.1247,0.18891,0.11846,1.31719,4.77386,1.16167,0.000140652,0.000140652,0.000140652
76,1345.73,1.10351,2.8343,0.91284,0.60028,0.1247,0.18891,0.11846,1.31719,4.77386,1.16167,0.000135445,0.000135445,0.000135445
77,1363.7,1.21291,2.52117,0.93394,0.60028,0.1247,0.18891,0.11846,1.31719,4.77386,1.16167,0.000130238,0.000130238,0.000130238
78,1381.12,1.08201,2.81555,0.88438,0.63148,0.1247,0.19701,0.12356,1.28555,4.4676,1.16364,0.00012503,0.00012503,0.00012503
79,1398.38,1.11334,2.46197,0.93132,0.63148,0.1247,0.19701,0.12356,1.28555,4.4676,1.16364,0.000119823,0.000119823,0.000119823
